"data","cat_dado","dado","cat_recorte","recorte","variavel"
"abril","intencao_espontanea","Dilma Rousseff","idade","18 A 24",21.3
"abril","intencao_espontanea","Lula","idade","18 A 24",3.1
"abril","intencao_espontanea","Marina Silva","idade","18 A 24",4.9
"abril","intencao_espontanea","Outros com menos de 1%","idade","18 A 24",2.2
"abril","intencao_espontanea","Branco/ Nulo","idade","18 A 24",21
"abril","intencao_espontanea","Não sabe/ Não respondeu","idade","18 A 24",41
"abril","intencao_espontanea","Aécio Neves","idade","25 A 34",7.2
"abril","intencao_espontanea","Dilma Rousseff","idade","25 A 34",22
"abril","intencao_espontanea","Lula","idade","25 A 34",5.6
"abril","intencao_espontanea","Marina Silva","idade","25 A 34",3.8
"abril","intencao_espontanea","Outros com menos de 1%","idade","25 A 34",1.8
"abril","intencao_espontanea","Branco/ Nulo","idade","25 A 34",21.5
"abril","intencao_espontanea","Não sabe/ Não respondeu","idade","25 A 34",38.1
"abril","intencao_espontanea","Aécio Neves","idade","35 A 44",7.4
"abril","intencao_espontanea","Dilma Rousseff","idade","35 A 44",23.4
"abril","intencao_espontanea","Lula","idade","35 A 44",6.6
"abril","intencao_espontanea","Marina Silva","idade","35 A 44",3.5
"abril","intencao_espontanea","Outros com menos de 1%","idade","35 A 44",0.8
"abril","intencao_espontanea","Branco/ Nulo","idade","35 A 44",18.6
"abril","intencao_espontanea","Não sabe/ Não respondeu","idade","35 A 44",39.6
"abril","intencao_espontanea","Aécio Neves","idade","45 A 54",6.3
"abril","intencao_espontanea","Dilma Rousseff","idade","45 A 54",25.1
"abril","intencao_espontanea","Lula","idade","45 A 54",7.8
"abril","intencao_espontanea","Marina Silva","idade","45 A 54",2.4
"abril","intencao_espontanea","Outros com menos de 1%","idade","45 A 54",2.4
"abril","intencao_espontanea","Branco/ Nulo","idade","45 A 54",22.2
"abril","intencao_espontanea","Não sabe/ Não respondeu","idade","45 A 54",33.8
"abril","intencao_espontanea","Aécio Neves","idade","55 A 64",10.4
"abril","intencao_espontanea","Dilma Rousseff","idade","55 A 64",26.1
"abril","intencao_espontanea","Lula","idade","55 A 64",8.1
"abril","intencao_espontanea","Marina Silva","idade","55 A 64",3.6
"abril","intencao_espontanea","Outros com menos de 1%","idade","55 A 64",1.8
"abril","intencao_espontanea","Branco/ Nulo","idade","55 A 64",14
"abril","intencao_espontanea","Não sabe/ Não respondeu","idade","55 A 64",36
"abril","intencao_espontanea","Aécio Neves","idade","65 E MAIS",8.2
"abril","intencao_espontanea","Dilma Rousseff","idade","65 E MAIS",26
"abril","intencao_espontanea","Lula","idade","65 E MAIS",9.2
"abril","intencao_espontanea","Marina Silva","idade","65 E MAIS",2.6
"abril","intencao_espontanea","Outros com menos de 1%","idade","65 E MAIS",0.5
"abril","intencao_espontanea","Branco/ Nulo","idade","65 E MAIS",15.3
"abril","intencao_espontanea","Não sabe/ Não respondeu","idade","65 E MAIS",38.3
"abril","intencao_estimulada","Aécio Neves","idade","16 E 17",12.2
"abril","intencao_estimulada","Dilma Rousseff","idade","16 E 17",48.8
"abril","intencao_estimulada","Eduardo Campos","idade","16 E 17",4.9
"abril","intencao_estimulada","Pastor Everaldo","idade","16 E 17",2.4
"abril","intencao_estimulada","Randolfe Rodrigues","idade","16 E 17",2.4
"abril","intencao_estimulada","Branco/ Nulo","idade","16 E 17",14.6
"abril","intencao_estimulada","Não sabe/ Não respondeu","idade","16 E 17",14.6
"abril","intencao_estimulada","Aécio Neves","idade","18 A 24",13.5
"abril","intencao_estimulada","Dilma Rousseff","idade","18 A 24",37.3
"abril","intencao_estimulada","Eduardo Campos","idade","18 A 24",6.3
"abril","intencao_estimulada","Pastor Everaldo","idade","18 A 24",3.8
"abril","intencao_estimulada","Randolfe Rodrigues","idade","18 A 24",0.9
"abril","intencao_estimulada","Branco/ Nulo","idade","18 A 24",26
"abril","intencao_estimulada","Não sabe/ Não respondeu","idade","18 A 24",12.2
"abril","intencao_estimulada","Aécio Neves","idade","25 A 34",14.9
"abril","intencao_estimulada","Dilma Rousseff","idade","25 A 34",34.6
"abril","intencao_estimulada","Eduardo Campos","idade","25 A 34",6.4
"abril","intencao_estimulada","Pastor Everaldo","idade","25 A 34",2
"abril","intencao_estimulada","Randolfe Rodrigues","idade","25 A 34",1.3
"abril","intencao_estimulada","Branco/ Nulo","idade","25 A 34",29.3
"abril","intencao_estimulada","Não sabe/ Não respondeu","idade","25 A 34",11.5
"abril","intencao_estimulada","Aécio Neves","idade","35 A 44",13.3
"abril","intencao_estimulada","Dilma Rousseff","idade","35 A 44",38
"abril","intencao_estimulada","Eduardo Campos","idade","35 A 44",7
"abril","intencao_estimulada","Pastor Everaldo","idade","35 A 44",1.6
"abril","intencao_estimulada","Randolfe Rodrigues","idade","35 A 44",0.5
"abril","intencao_estimulada","Branco/ Nulo","idade","35 A 44",24.2
"abril","intencao_estimulada","Não sabe/ Não respondeu","idade","35 A 44",15.4
"abril","intencao_estimulada","Aécio Neves","idade","45 A 54",15.8
"abril","intencao_estimulada","Dilma Rousseff","idade","45 A 54",39.4
"abril","intencao_estimulada","Eduardo Campos","idade","45 A 54",4.2
"abril","intencao_estimulada","Pastor Everaldo","idade","45 A 54",0.6
"abril","intencao_estimulada","Randolfe Rodrigues","idade","45 A 54",0.9
"abril","intencao_estimulada","Branco/ Nulo","idade","45 A 54",27
"abril","intencao_estimulada","Não sabe/ Não respondeu","idade","45 A 54",12.1
"abril","intencao_estimulada","Aécio Neves","idade","55 A 64",18.8
"abril","intencao_estimulada","Dilma Rousseff","idade","55 A 64",41.3
"abril","intencao_estimulada","Eduardo Campos","idade","55 A 64",4.9
"abril","intencao_estimulada","Pastor Everaldo","idade","55 A 64",2.7
"abril","intencao_estimulada","Randolfe Rodrigues","idade","55 A 64",0.9
"abril","intencao_estimulada","Branco/ Nulo","idade","55 A 64",19.7
"abril","intencao_estimulada","Não sabe/ Não respondeu","idade","55 A 64",11.7
"abril","intencao_estimulada","Aécio Neves","idade","65 E MAIS",14.9
"abril","intencao_estimulada","Dilma Rousseff","idade","65 E MAIS",38.1
"abril","intencao_estimulada","Eduardo Campos","idade","65 E MAIS",4
"abril","intencao_estimulada","Pastor Everaldo","idade","65 E MAIS",1.5
"abril","intencao_estimulada","Randolfe Rodrigues","idade","65 E MAIS",0.5
"abril","intencao_estimulada","Branco/ Nulo","idade","65 E MAIS",19.8
"abril","intencao_estimulada","Não sabe/ Não respondeu","idade","65 E MAIS",21.3
"abril","avaliacao_governo","Ótimo","idade","16 E 17",8.9
"abril","avaliacao_governo","Bom","idade","16 E 17",26.7
"abril","avaliacao_governo","Regular","idade","16 E 17",22.2
"abril","avaliacao_governo","Ruim","idade","16 E 17",15.6
"abril","avaliacao_governo","Péssimo","idade","16 E 17",26.7
"abril","avaliacao_governo","Não sabe/ Não respondeu","idade","16 E 17",0
"abril","avaliacao_governo","Ótimo","idade","18 A 24",6
"abril","avaliacao_governo","Bom","idade","18 A 24",23.6
"abril","avaliacao_governo","Regular","idade","18 A 24",35.2
"abril","avaliacao_governo","Ruim","idade","18 A 24",15.5
"abril","avaliacao_governo","Péssimo","idade","18 A 24",18.5
"abril","avaliacao_governo","Não sabe/ Não respondeu","idade","18 A 24",1.2
"abril","avaliacao_governo","Ótimo","idade","25 A 34",5
"abril","avaliacao_governo","Bom","idade","25 A 34",26.7
"abril","avaliacao_governo","Regular","idade","25 A 34",36.2
"abril","avaliacao_governo","Ruim","idade","25 A 34",12.1
"abril","avaliacao_governo","Péssimo","idade","25 A 34",18.2
"abril","avaliacao_governo","Não sabe/ Não respondeu","idade","25 A 34",1.7
"abril","avaliacao_governo","Ótimo","idade","35 A 44",4.8
"abril","avaliacao_governo","Bom","idade","35 A 44",30.1
"abril","avaliacao_governo","Regular","idade","35 A 44",34.9
"abril","avaliacao_governo","Ruim","idade","35 A 44",13.8
"abril","avaliacao_governo","Péssimo","idade","35 A 44",15.1
"abril","avaliacao_governo","Não sabe/ Não respondeu","idade","35 A 44",1.3
"abril","avaliacao_governo","Ótimo","idade","45 A 54",6.5
"abril","avaliacao_governo","Bom","idade","45 A 54",28.8
"abril","avaliacao_governo","Regular","idade","45 A 54",35.6
"abril","avaliacao_governo","Ruim","idade","45 A 54",12.6
"abril","avaliacao_governo","Péssimo","idade","45 A 54",15
"abril","avaliacao_governo","Não sabe/ Não respondeu","idade","45 A 54",1.5
"abril","avaliacao_governo","Ótimo","idade","55 A 64",6.2
"abril","avaliacao_governo","Bom","idade","55 A 64",32.6
"abril","avaliacao_governo","Regular","idade","55 A 64",31.3
"abril","avaliacao_governo","Ruim","idade","55 A 64",14.5
"abril","avaliacao_governo","Péssimo","idade","55 A 64",13.7
"abril","avaliacao_governo","Não sabe/ Não respondeu","idade","55 A 64",1.8
"abril","avaliacao_governo","Ótimo","idade","65 E MAIS",10.4
"abril","avaliacao_governo","Bom","idade","65 E MAIS",28.7
"abril","avaliacao_governo","Regular","idade","65 E MAIS",30.2
"abril","avaliacao_governo","Ruim","idade","65 E MAIS",13.9
"abril","avaliacao_governo","Péssimo","idade","65 E MAIS",13.4
"abril","avaliacao_governo","Não sabe/ Não respondeu","idade","65 E MAIS",3.5
"abril","aprova_dilma","Aprova","idade","16 E 17",44.4
"abril","aprova_dilma","Desaprova","idade","16 E 17",51.1
"abril","aprova_dilma","Não sabe/ Não respondeu","idade","16 E 17",4.4
"abril","aprova_dilma","Aprova","idade","18 A 24",43.9
"abril","aprova_dilma","Desaprova","idade","18 A 24",51.6
"abril","aprova_dilma","Não sabe/ Não respondeu","idade","18 A 24",4.5
"abril","aprova_dilma","Aprova","idade","25 A 34",44.9
"abril","aprova_dilma","Desaprova","idade","25 A 34",50.5
"abril","aprova_dilma","Não sabe/ Não respondeu","idade","25 A 34",4.6
"abril","aprova_dilma","Aprova","idade","35 A 44",48
"abril","aprova_dilma","Desaprova","idade","35 A 44",48.5
"abril","aprova_dilma","Não sabe/ Não respondeu","idade","35 A 44",3.6
"abril","aprova_dilma","Aprova","idade","45 A 54",48.2
"abril","aprova_dilma","Desaprova","idade","45 A 54",45.6
"abril","aprova_dilma","Não sabe/ Não respondeu","idade","45 A 54",6.2
"abril","aprova_dilma","Aprova","idade","55 A 64",50.7
"abril","aprova_dilma","Desaprova","idade","55 A 64",42.7
"abril","aprova_dilma","Não sabe/ Não respondeu","idade","55 A 64",6.6
"abril","aprova_dilma","Aprova","idade","65 E MAIS",49
"abril","aprova_dilma","Desaprova","idade","65 E MAIS",40.1
"abril","aprova_dilma","Não sabe/ Não respondeu","idade","65 E MAIS",10.9
"abril","grau_mudanca","Mudasse totalmente o governo do país","idade","16 E 17",44.4
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","idade","16 E 17",22.2
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","idade","16 E 17",24.4
"abril","grau_mudanca","Desse total continuidade ao governo atual","idade","16 E 17",6.7
"abril","grau_mudanca","Não sabe/ Não respondeu","idade","16 E 17",2.2
"abril","grau_mudanca","Mudasse totalmente o governo do país","idade","18 A 24",31
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","idade","18 A 24",44.5
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","idade","18 A 24",16.4
"abril","grau_mudanca","Desse total continuidade ao governo atual","idade","18 A 24",7.2
"abril","grau_mudanca","Não sabe/ Não respondeu","idade","18 A 24",0.9
"abril","grau_mudanca","Mudasse totalmente o governo do país","idade","25 A 34",29.9
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","idade","25 A 34",39.5
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","idade","25 A 34",21.5
"abril","grau_mudanca","Desse total continuidade ao governo atual","idade","25 A 34",6.7
"abril","grau_mudanca","Não sabe/ Não respondeu","idade","25 A 34",2.4
"abril","grau_mudanca","Mudasse totalmente o governo do país","idade","35 A 44",28.1
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","idade","35 A 44",38.3
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","idade","35 A 44",22.2
"abril","grau_mudanca","Desse total continuidade ao governo atual","idade","35 A 44",7.9
"abril","grau_mudanca","Não sabe/ Não respondeu","idade","35 A 44",3.6
"abril","grau_mudanca","Mudasse totalmente o governo do país","idade","45 A 54",29.1
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","idade","45 A 54",38.5
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","idade","45 A 54",20.3
"abril","grau_mudanca","Desse total continuidade ao governo atual","idade","45 A 54",8.5
"abril","grau_mudanca","Não sabe/ Não respondeu","idade","45 A 54",3.5
"abril","grau_mudanca","Mudasse totalmente o governo do país","idade","55 A 64",33.5
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","idade","55 A 64",32.6
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","idade","55 A 64",21.6
"abril","grau_mudanca","Desse total continuidade ao governo atual","idade","55 A 64",8.4
"abril","grau_mudanca","Não sabe/ Não respondeu","idade","55 A 64",4
"abril","grau_mudanca","Mudasse totalmente o governo do país","idade","65 E MAIS",27.7
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","idade","65 E MAIS",34.7
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","idade","65 E MAIS",16.3
"abril","grau_mudanca","Desse total continuidade ao governo atual","idade","65 E MAIS",14.4
"abril","grau_mudanca","Não sabe/ Não respondeu","idade","65 E MAIS",6.9
"abril","vida_hoje","Muito satisfeito","instrucao","ANALF.",7.9
"abril","vida_hoje","Satisfeito","instrucao","ANALF.",73.7
"abril","vida_hoje","Insatisfeito","instrucao","ANALF.",15.8
"abril","vida_hoje","Muito insatisfeito","instrucao","ANALF.",2.6
"abril","vida_hoje","Não sabe/ Não respondeu","instrucao","ANALF.",0
"abril","vida_hoje","Muito satisfeito","instrucao","SABE LER/ ESCR. MAS NÃO CURSOU ESCOLA",18.8
"abril","vida_hoje","Satisfeito","instrucao","SABE LER/ ESCR. MAS NÃO CURSOU ESCOLA",62.5
"abril","vida_hoje","Insatisfeito","instrucao","SABE LER/ ESCR. MAS NÃO CURSOU ESCOLA",12.5
"abril","vida_hoje","Muito insatisfeito","instrucao","SABE LER/ ESCR. MAS NÃO CURSOU ESCOLA",6.2
"abril","vida_hoje","Não sabe/ Não respondeu","instrucao","SABE LER/ ESCR. MAS NÃO CURSOU ESCOLA",0
"abril","vida_hoje","Muito satisfeito","instrucao","PRIM. INC.",10.3
"abril","vida_hoje","Satisfeito","instrucao","PRIM. INC.",61.9
"abril","vida_hoje","Insatisfeito","instrucao","PRIM. INC.",24.5
"abril","vida_hoje","Muito insatisfeito","instrucao","PRIM. INC.",1.3
"abril","vida_hoje","Não sabe/ Não respondeu","instrucao","PRIM. INC.",1.9
"abril","vida_hoje","Muito satisfeito","instrucao","PRIM. COMP.",9.7
"abril","vida_hoje","Satisfeito","instrucao","PRIM. COMP.",64.7
"abril","vida_hoje","Insatisfeito","instrucao","PRIM. COMP.",24.2
"abril","vida_hoje","Muito insatisfeito","instrucao","PRIM. COMP.",1.1
"abril","vida_hoje","Não sabe/ Não respondeu","instrucao","PRIM. COMP.",0.4
"abril","vida_hoje","Muito satisfeito","instrucao","GINÁS. INC.",9.4
"abril","vida_hoje","Satisfeito","instrucao","GINÁS. INC.",67.2
"abril","vida_hoje","Insatisfeito","instrucao","GINÁS. INC.",21.4
"abril","vida_hoje","Muito insatisfeito","instrucao","GINÁS. INC.",2.1
"abril","vida_hoje","Não sabe/ Não respondeu","instrucao","GINÁS. INC.",0
"abril","vida_hoje","Muito satisfeito","instrucao","GINÁS. COMP.",5.5
"abril","vida_hoje","Satisfeito","instrucao","GINÁS. COMP.",69.9
"abril","vida_hoje","Insatisfeito","instrucao","GINÁS. COMP.",22.4
