"data","cat_pergunta","dado","cat_recorte","recorte","valor"
"2014-10-08","segundo_turno_aecio","NS/NR*2","sexo","FEM",5
"2014-10-08","segundo_turno_aecio","Aécio Neves2","sexo","MAS",45
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","sexo","MAS",7
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","sexo","MAS",44
"2014-10-08","segundo_turno_aecio","NS/NR*2","sexo","MAS",4
"2014-10-08","favorito","Aécio Neves2","sexo","FEM",39
"2014-10-08","favorito","Dilma Rousseff2","sexo","FEM",49
"2014-10-08","favorito","NS/NR*2","sexo","FEM",11
"2014-10-08","favorito","Aécio Neves2","sexo","MAS",40
"2014-10-08","favorito","Dilma Rousseff2","sexo","MAS",49
"2014-10-08","favorito","NS/NR*2","sexo","MAS",11
"2014-10-08","nota","nota","sexo","FEM",5.8
"2014-10-08","nota","nota","sexo","MAS",5.8
"2014-10-08","segundo_aecio_validos","Aécio Neves2","sexo","FEM",52
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","sexo","FEM",48
"2014-10-08","segundo_aecio_validos","Aécio Neves2","sexo","MAS",51
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","sexo","MAS",49
"2014-10-08","espontanea_validos","Aécio Neves2","sexo","FEM",51
"2014-10-08","espontanea_validos","Dilma Rousseff2","sexo","FEM",49
"2014-10-08","espontanea_validos","Outros2","sexo","FEM",1
"2014-10-08","espontanea_validos","Aécio Neves2","sexo","MAS",51
"2014-10-08","espontanea_validos","Dilma Rousseff2","sexo","MAS",48
"2014-10-08","espontanea_validos","Outros2","sexo","MAS",0
"2014-10-08","voto_1turno","Aécio Neves","sexo","FEM",29
"2014-10-08","voto_1turno","Branco e Nulo","sexo","FEM",6
"2014-10-08","voto_1turno","Dilma Rousseff","sexo","FEM",39
"2014-10-08","voto_1turno","Marina Silva","sexo","FEM",18
"2014-10-08","voto_1turno","Não votou","sexo","FEM",2
"2014-10-08","voto_1turno","NS/NR*","sexo","FEM",3
"2014-10-08","voto_1turno","Outros","sexo","FEM",3
"2014-10-08","voto_1turno","Aécio Neves","sexo","MAS",30
"2014-10-08","voto_1turno","Branco e Nulo","sexo","MAS",6
"2014-10-08","voto_1turno","Dilma Rousseff","sexo","MAS",40
"2014-10-08","voto_1turno","Marina Silva","sexo","MAS",18
"2014-10-08","voto_1turno","Não votou","sexo","MAS",2
"2014-10-08","voto_1turno","NS/NR*","sexo","MAS",2
"2014-10-08","voto_1turno","Outros","sexo","MAS",3
"2014-10-08","certeza_voto","É definitiva","sexo","FEM",84
"2014-10-08","certeza_voto","NS/NR*","sexo","FEM",4
"2014-10-08","certeza_voto","Pode mudar","sexo","FEM",12
"2014-10-08","certeza_voto","É definitiva","sexo","MAS",85
"2014-10-08","certeza_voto","NS/NR*","sexo","MAS",4
"2014-10-08","certeza_voto","Pode mudar","sexo","MAS",11
"2014-10-08","vida_hoje","Satisfeito","idade","16 a 24",79
"2014-10-08","vida_hoje","Insatisfeito","idade","16 a 24",21
"2014-10-08","vida_hoje","NS/NR*","idade","16 a 24",0
"2014-10-08","vida_hoje","Satisfeito","idade","25 a 34",83
"2014-10-08","vida_hoje","Insatisfeito","idade","25 a 34",17
"2014-10-08","vida_hoje","NS/NR*","idade","25 a 34",0
"2014-10-08","vida_hoje","Satisfeito","idade","35 a 44",79
"2014-10-08","vida_hoje","Insatisfeito","idade","35 a 44",20
"2014-10-08","vida_hoje","NS/NR*","idade","35 a 44",1
"2014-10-08","vida_hoje","Satisfeito","idade","45 a 54",79
"2014-10-08","vida_hoje","Insatisfeito","idade","45 a 54",20
"2014-10-08","vida_hoje","NS/NR*","idade","45 a 54",1
"2014-10-08","vida_hoje","Satisfeito","idade","55 ou mais",78
"2014-10-08","vida_hoje","Insatisfeito","idade","55 ou mais",22
"2014-10-08","vida_hoje","NS/NR*","idade","55 ou mais",0
"2014-10-08","interesse","Tem muito interesse","idade","16 a 24",27
"2014-10-08","interesse","Tem médio interesse","idade","16 a 24",35
"2014-10-08","interesse","Não tem interesse","idade","16 a 24",39
"2014-10-08","interesse","NS/NR*","idade","16 a 24",0
"2014-10-08","interesse","Tem muito interesse","idade","25 a 34",29
"2014-10-08","interesse","Tem médio interesse","idade","25 a 34",36
"2014-10-08","interesse","Não tem interesse","idade","25 a 34",34
"2014-10-08","interesse","NS/NR*","idade","25 a 34",1
"2014-10-08","interesse","Tem muito interesse","idade","35 a 44",32
"2014-10-08","interesse","Tem médio interesse","idade","35 a 44",34
"2014-10-08","interesse","Não tem interesse","idade","35 a 44",34
"2014-10-08","interesse","NS/NR*","idade","35 a 44",0
"2014-10-08","interesse","Tem muito interesse","idade","45 a 54",32
"2014-10-08","interesse","Tem médio interesse","idade","45 a 54",37
"2014-10-08","interesse","Não tem interesse","idade","45 a 54",30
"2014-10-08","interesse","NS/NR*","idade","45 a 54",1
"2014-10-08","interesse","Tem muito interesse","idade","55 ou mais",31
"2014-10-08","interesse","Tem médio interesse","idade","55 ou mais",35
"2014-10-08","interesse","Não tem interesse","idade","55 ou mais",33
"2014-10-08","interesse","NS/NR*","idade","55 ou mais",1
"2014-10-08","intencao_espontanea","Aécio Neves2","idade","16 a 24",48
"2014-10-08","intencao_espontanea","Branco e Nulo2","idade","16 a 24",8
"2014-10-08","intencao_espontanea","Dilma Rousseff2","idade","16 a 24",38
"2014-10-08","intencao_espontanea","NS/NR*2","idade","16 a 24",5
"2014-10-08","intencao_espontanea","Outros2","idade","16 a 24",1
"2014-10-08","intencao_espontanea","Aécio Neves2","idade","25 a 34",47
"2014-10-08","intencao_espontanea","Branco e Nulo2","idade","25 a 34",7
"2014-10-08","intencao_espontanea","Dilma Rousseff2","idade","25 a 34",39
"2014-10-08","intencao_espontanea","NS/NR*2","idade","25 a 34",6
"2014-10-08","intencao_espontanea","Outros2","idade","25 a 34",0
"2014-10-08","intencao_espontanea","Aécio Neves2","idade","35 a 44",41
"2014-10-08","intencao_espontanea","Branco e Nulo2","idade","35 a 44",8
"2014-10-08","intencao_espontanea","Dilma Rousseff2","idade","35 a 44",43
"2014-10-08","intencao_espontanea","NS/NR*2","idade","35 a 44",7
"2014-10-08","intencao_espontanea","Outros2","idade","35 a 44",0
"2014-10-08","intencao_espontanea","Aécio Neves2","idade","45 a 54",43
"2014-10-08","intencao_espontanea","Branco e Nulo2","idade","45 a 54",8
"2014-10-08","intencao_espontanea","Dilma Rousseff2","idade","45 a 54",41
"2014-10-08","intencao_espontanea","NS/NR*2","idade","45 a 54",8
"2014-10-08","intencao_espontanea","Outros2","idade","45 a 54",0
"2014-10-08","intencao_espontanea","Aécio Neves2","idade","55 ou mais",39
"2014-10-08","intencao_espontanea","Branco e Nulo2","idade","55 ou mais",5
"2014-10-08","intencao_espontanea","Dilma Rousseff2","idade","55 ou mais",47
"2014-10-08","intencao_espontanea","NS/NR*2","idade","55 ou mais",9
"2014-10-08","intencao_espontanea","Outros2","idade","55 ou mais",1
"2014-10-08","aprova_dilma","Aprova","idade","16 a 24",46
"2014-10-08","aprova_dilma","Desaprova","idade","16 a 24",48
"2014-10-08","aprova_dilma","NS/NR*","idade","16 a 24",6
"2014-10-08","aprova_dilma","Aprova","idade","25 a 34",49
"2014-10-08","aprova_dilma","Desaprova","idade","25 a 34",46
"2014-10-08","aprova_dilma","NS/NR*","idade","25 a 34",5
"2014-10-08","aprova_dilma","Aprova","idade","35 a 44",48
"2014-10-08","aprova_dilma","Desaprova","idade","35 a 44",46
"2014-10-08","aprova_dilma","NS/NR*","idade","35 a 44",6
"2014-10-08","aprova_dilma","Aprova","idade","45 a 54",48
"2014-10-08","aprova_dilma","Desaprova","idade","45 a 54",44
"2014-10-08","aprova_dilma","NS/NR*","idade","45 a 54",8
"2014-10-08","aprova_dilma","Aprova","idade","55 ou mais",56
"2014-10-08","aprova_dilma","Desaprova","idade","55 ou mais",35
"2014-10-08","aprova_dilma","NS/NR*","idade","55 ou mais",9
"2014-10-08","rejeicao","Dilma Rousseff2","idade","16 a 24",44
"2014-10-08","rejeicao","Aécio Neves2","idade","16 a 24",31
"2014-10-08","rejeicao","Dilma Rousseff2","idade","25 a 34",42
"2014-10-08","rejeicao","Aécio Neves2","idade","25 a 34",32
"2014-10-08","rejeicao","Dilma Rousseff2","idade","35 a 44",42
"2014-10-08","rejeicao","Aécio Neves2","idade","35 a 44",35
"2014-10-08","rejeicao","Dilma Rousseff2","idade","45 a 54",42
"2014-10-08","rejeicao","Aécio Neves2","idade","45 a 54",32
"2014-10-08","rejeicao","Dilma Rousseff2","idade","55 ou mais",34
"2014-10-08","rejeicao","Aécio Neves2","idade","55 ou mais",36
"2014-10-08","segundo_turno_aecio","Aécio Neves2","idade","16 a 24",50
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","idade","16 a 24",7
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","idade","16 a 24",39
"2014-10-08","segundo_turno_aecio","NS/NR*2","idade","16 a 24",4
"2014-10-08","segundo_turno_aecio","Aécio Neves2","idade","25 a 34",49
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","idade","25 a 34",7
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","idade","25 a 34",42
"2014-10-08","segundo_turno_aecio","NS/NR*2","idade","25 a 34",3
"2014-10-08","segundo_turno_aecio","Aécio Neves2","idade","35 a 44",42
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","idade","35 a 44",7
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","idade","35 a 44",45
"2014-10-08","segundo_turno_aecio","NS/NR*2","idade","35 a 44",5
"2014-10-08","segundo_turno_aecio","Aécio Neves2","idade","45 a 54",45
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","idade","45 a 54",7
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","idade","45 a 54",43
"2014-10-08","segundo_turno_aecio","NS/NR*2","idade","45 a 54",5
"2014-10-08","segundo_turno_aecio","Aécio Neves2","idade","55 ou mais",40
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","idade","55 ou mais",4
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","idade","55 ou mais",50
"2014-10-08","segundo_turno_aecio","NS/NR*2","idade","55 ou mais",6
"2014-10-08","favorito","Aécio Neves2","idade","16 a 24",42
"2014-10-08","favorito","Dilma Rousseff2","idade","16 a 24",46
"2014-10-08","favorito","NS/NR*2","idade","16 a 24",13
"2014-10-08","favorito","Aécio Neves2","idade","25 a 34",40
"2014-10-08","favorito","Dilma Rousseff2","idade","25 a 34",49
"2014-10-08","favorito","NS/NR*2","idade","25 a 34",11
"2014-10-08","favorito","Aécio Neves2","idade","35 a 44",37
"2014-10-08","favorito","Dilma Rousseff2","idade","35 a 44",53
"2014-10-08","favorito","NS/NR*2","idade","35 a 44",10
"2014-10-08","favorito","Aécio Neves2","idade","45 a 54",44
"2014-10-08","favorito","Dilma Rousseff2","idade","45 a 54",46
"2014-10-08","favorito","NS/NR*2","idade","45 a 54",10
"2014-10-08","favorito","Aécio Neves2","idade","55 ou mais",37
"2014-10-08","favorito","Dilma Rousseff2","idade","55 ou mais",50
"2014-10-08","favorito","NS/NR*2","idade","55 ou mais",13
"2014-10-08","nota","nota","idade","16 a 24",5.4
"2014-10-08","nota","nota","idade","25 a 34",5.7
"2014-10-08","nota","nota","idade","35 a 44",5.7
"2014-10-08","nota","nota","idade","45 a 54",5.8
"2014-10-08","nota","nota","idade","55 ou mais",6.4
"2014-10-08","segundo_aecio_validos","Aécio Neves2","idade","16 a 24",56
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","idade","16 a 24",44
"2014-10-08","segundo_aecio_validos","Aécio Neves2","idade","25 a 34",54
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","idade","25 a 34",46
"2014-10-08","segundo_aecio_validos","Aécio Neves2","idade","35 a 44",48
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","idade","35 a 44",52
"2014-10-08","segundo_aecio_validos","Aécio Neves2","idade","45 a 54",51
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","idade","45 a 54",49
"2014-10-08","segundo_aecio_validos","Aécio Neves2","idade","55 ou mais",45
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","idade","55 ou mais",55
"2014-10-08","espontanea_validos","Aécio Neves2","idade","16 a 24",55
"2014-10-08","espontanea_validos","Dilma Rousseff2","idade","16 a 24",44
"2014-10-08","espontanea_validos","Outros2","idade","16 a 24",1
"2014-10-08","espontanea_validos","Aécio Neves2","idade","25 a 34",54
"2014-10-08","espontanea_validos","Dilma Rousseff2","idade","25 a 34",46
"2014-10-08","espontanea_validos","Outros2","idade","25 a 34",0
"2014-10-08","espontanea_validos","Aécio Neves2","idade","35 a 44",49
"2014-10-08","espontanea_validos","Dilma Rousseff2","idade","35 a 44",51
"2014-10-08","espontanea_validos","Outros2","idade","35 a 44",0
"2014-10-08","espontanea_validos","Aécio Neves2","idade","45 a 54",51
"2014-10-08","espontanea_validos","Dilma Rousseff2","idade","45 a 54",49
"2014-10-08","espontanea_validos","Outros2","idade","45 a 54",0
"2014-10-08","espontanea_validos","Aécio Neves2","idade","55 ou mais",45
"2014-10-08","espontanea_validos","Dilma Rousseff2","idade","55 ou mais",54
"2014-10-08","espontanea_validos","Outros2","idade","55 ou mais",1
"2014-10-08","voto_1turno","Aécio Neves","idade","16 a 24",32
"2014-10-08","voto_1turno","Branco e Nulo","idade","16 a 24",7
"2014-10-08","voto_1turno","Dilma Rousseff","idade","16 a 24",34
"2014-10-08","voto_1turno","Marina Silva","idade","16 a 24",20
"2014-10-08","voto_1turno","Não votou","idade","16 a 24",3
"2014-10-08","voto_1turno","NS/NR*","idade","16 a 24",1
"2014-10-08","voto_1turno","Outros","idade","16 a 24",4
"2014-10-08","voto_1turno","Aécio Neves","idade","25 a 34",30
"2014-10-08","voto_1turno","Branco e Nulo","idade","25 a 34",6
"2014-10-08","voto_1turno","Dilma Rousseff","idade","25 a 34",37
"2014-10-08","voto_1turno","Marina Silva","idade","25 a 34",20
"2014-10-08","voto_1turno","Não votou","idade","25 a 34",2
"2014-10-08","voto_1turno","NS/NR*","idade","25 a 34",3
"2014-10-08","voto_1turno","Outros","idade","25 a 34",3
"2014-10-08","voto_1turno","Aécio Neves","idade","35 a 44",28
"2014-10-08","voto_1turno","Branco e Nulo","idade","35 a 44",6
"2014-10-08","voto_1turno","Dilma Rousseff","idade","35 a 44",42
"2014-10-08","voto_1turno","Marina Silva","idade","35 a 44",17
"2014-10-08","voto_1turno","Não votou","idade","35 a 44",1
"2014-10-08","voto_1turno","NS/NR*","idade","35 a 44",3
"2014-10-08","voto_1turno","Outros","idade","35 a 44",2
"2014-10-08","voto_1turno","Aécio Neves","idade","45 a 54",28
"2014-10-08","voto_1turno","Branco e Nulo","idade","45 a 54",5
"2014-10-08","voto_1turno","Dilma Rousseff","idade","45 a 54",40
"2014-10-08","voto_1turno","Marina Silva","idade","45 a 54",19
"2014-10-08","voto_1turno","Não votou","idade","45 a 54",2
"2014-10-08","voto_1turno","NS/NR*","idade","45 a 54",3
"2014-10-08","voto_1turno","Outros","idade","45 a 54",2
"2014-10-08","voto_1turno","Aécio Neves","idade","55 ou mais",28
"2014-10-08","voto_1turno","Branco e Nulo","idade","55 ou mais",4
"2014-10-08","voto_1turno","Dilma Rousseff","idade","55 ou mais",48
"2014-10-08","voto_1turno","Marina Silva","idade","55 ou mais",14
"2014-10-08","voto_1turno","Não votou","idade","55 ou mais",1
"2014-10-08","voto_1turno","NS/NR*","idade","55 ou mais",4
"2014-10-08","voto_1turno","Outros","idade","55 ou mais",2
"2014-10-08","certeza_voto","É definitiva","idade","16 a 24",85
"2014-10-08","certeza_voto","NS/NR*","idade","16 a 24",4
"2014-10-08","certeza_voto","Pode mudar","idade","16 a 24",11
"2014-10-08","certeza_voto","É definitiva","idade","25 a 34",84
"2014-10-08","certeza_voto","NS/NR*","idade","25 a 34",5
"2014-10-08","certeza_voto","Pode mudar","idade","25 a 34",11
"2014-10-08","certeza_voto","É definitiva","idade","35 a 44",83
"2014-10-08","certeza_voto","NS/NR*","idade","35 a 44",3
"2014-10-08","certeza_voto","Pode mudar","idade","35 a 44",14
"2014-10-08","certeza_voto","É definitiva","idade","45 a 54",86
"2014-10-08","certeza_voto","NS/NR*","idade","45 a 54",4
"2014-10-08","certeza_voto","Pode mudar","idade","45 a 54",10
"2014-10-08","certeza_voto","É definitiva","idade","55 ou mais",85
"2014-10-08","certeza_voto","NS/NR*","idade","55 ou mais",4
"2014-10-08","certeza_voto","Pode mudar","idade","55 ou mais",11
"2014-10-08","vida_hoje","Satisfeito","escolaridade","Fundamental 1",78
"2014-10-08","vida_hoje","Insatisfeito","escolaridade","Fundamental 1",22
"2014-10-08","vida_hoje","NS/NR*","escolaridade","Fundamental 1",1
"2014-10-08","vida_hoje","Satisfeito","escolaridade","Fundamental 2",77
"2014-10-08","vida_hoje","Insatisfeito","escolaridade","Fundamental 2",22
"2014-10-08","vida_hoje","NS/NR*","escolaridade","Fundamental 2",1
"2014-10-08","vida_hoje","Satisfeito","escolaridade","Medio",80
"2014-10-08","vida_hoje","Insatisfeito","escolaridade","Medio",19
"2014-10-08","vida_hoje","NS/NR*","escolaridade","Medio",0
"2014-10-08","vida_hoje","Satisfeito","escolaridade","Superior",85
"2014-10-08","vida_hoje","Insatisfeito","escolaridade","Superior",15
"2014-10-08","vida_hoje","NS/NR*","escolaridade","Superior",0
"2014-10-08","interesse","Tem muito interesse","escolaridade","Fundamental 1",28
"2014-10-08","interesse","Tem médio interesse","escolaridade","Fundamental 1",32
"2014-10-08","interesse","Não tem interesse","escolaridade","Fundamental 1",38
"2014-10-08","interesse","NS/NR*","escolaridade","Fundamental 1",2
"2014-10-08","interesse","Tem muito interesse","escolaridade","Fundamental 2",25
"2014-10-08","interesse","Tem médio interesse","escolaridade","Fundamental 2",35
"2014-10-08","interesse","Não tem interesse","escolaridade","Fundamental 2",40
"2014-10-08","interesse","NS/NR*","escolaridade","Fundamental 2",0
"2014-10-08","interesse","Tem muito interesse","escolaridade","Medio",28
"2014-10-08","interesse","Tem médio interesse","escolaridade","Medio",37
"2014-10-08","interesse","Não tem interesse","escolaridade","Medio",35
"2014-10-08","interesse","NS/NR*","escolaridade","Medio",0
"2014-10-08","interesse","Tem muito interesse","escolaridade","Superior",44
"2014-10-08","interesse","Tem médio interesse","escolaridade","Superior",34
"2014-10-08","interesse","Não tem interesse","escolaridade","Superior",22
"2014-10-08","interesse","NS/NR*","escolaridade","Superior",0
"2014-10-08","intencao_espontanea","Aécio Neves2","escolaridade","Fundamental 1",32
"2014-10-08","intencao_espontanea","Branco e Nulo2","escolaridade","Fundamental 1",5
"2014-10-08","intencao_espontanea","Dilma Rousseff2","escolaridade","Fundamental 1",53
"2014-10-08","intencao_espontanea","NS/NR*2","escolaridade","Fundamental 1",10
"2014-10-08","intencao_espontanea","Outros2","escolaridade","Fundamental 1",1
"2014-10-08","intencao_espontanea","Aécio Neves2","escolaridade","Fundamental 2",33
"2014-10-08","intencao_espontanea","Branco e Nulo2","escolaridade","Fundamental 2",7
"2014-10-08","intencao_espontanea","Dilma Rousseff2","escolaridade","Fundamental 2",53
"2014-10-08","intencao_espontanea","NS/NR*2","escolaridade","Fundamental 2",6
"2014-10-08","intencao_espontanea","Outros2","escolaridade","Fundamental 2",1
"2014-10-08","intencao_espontanea","Aécio Neves2","escolaridade","Medio",48
"2014-10-08","intencao_espontanea","Branco e Nulo2","escolaridade","Medio",8
"2014-10-08","intencao_espontanea","Dilma Rousseff2","escolaridade","Medio",37
"2014-10-08","intencao_espontanea","NS/NR*2","escolaridade","Medio",7
"2014-10-08","intencao_espontanea","Outros2","escolaridade","Medio",0
"2014-10-08","intencao_espontanea","Aécio Neves2","escolaridade","Superior",58
"2014-10-08","intencao_espontanea","Branco e Nulo2","escolaridade","Superior",8
"2014-10-08","intencao_espontanea","Dilma Rousseff2","escolaridade","Superior",28
"2014-10-08","intencao_espontanea","NS/NR*2","escolaridade","Superior",5
"2014-10-08","intencao_espontanea","Outros2","escolaridade","Superior",0
"2014-10-08","aprova_dilma","Aprova","escolaridade","Fundamental 1",64
"2014-10-08","aprova_dilma","Desaprova","escolaridade","Fundamental 1",28
"2014-10-08","aprova_dilma","NS/NR*","escolaridade","Fundamental 1",8
"2014-10-08","aprova_dilma","Aprova","escolaridade","Fundamental 2",61
"2014-10-08","aprova_dilma","Desaprova","escolaridade","Fundamental 2",32
"2014-10-08","aprova_dilma","NS/NR*","escolaridade","Fundamental 2",7
"2014-10-08","aprova_dilma","Aprova","escolaridade","Medio",43
"2014-10-08","aprova_dilma","Desaprova","escolaridade","Medio",50
"2014-10-08","aprova_dilma","NS/NR*","escolaridade","Medio",6
"2014-10-08","aprova_dilma","Aprova","escolaridade","Superior",35
"2014-10-08","aprova_dilma","Desaprova","escolaridade","Superior",59
"2014-10-08","aprova_dilma","NS/NR*","escolaridade","Superior",6
"2014-10-08","rejeicao","Dilma Rousseff2","escolaridade","Fundamental 1",28
"2014-10-08","rejeicao","Aécio Neves2","escolaridade","Fundamental 1",38
"2014-10-08","rejeicao","Dilma Rousseff2","escolaridade","Fundamental 2",30
"2014-10-08","rejeicao","Aécio Neves2","escolaridade","Fundamental 2",41
"2014-10-08","rejeicao","Dilma Rousseff2","escolaridade","Medio",47
"2014-10-08","rejeicao","Aécio Neves2","escolaridade","Medio",31
"2014-10-08","rejeicao","Dilma Rousseff2","escolaridade","Superior",53
"2014-10-08","rejeicao","Aécio Neves2","escolaridade","Superior",23
"2014-10-08","segundo_turno_aecio","Aécio Neves2","escolaridade","Fundamental 1",33
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","escolaridade","Fundamental 1",4
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","escolaridade","Fundamental 1",55
"2014-10-08","segundo_turno_aecio","NS/NR*2","escolaridade","Fundamental 1",7
"2014-10-08","segundo_turno_aecio","Aécio Neves2","escolaridade","Fundamental 2",36
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","escolaridade","Fundamental 2",6
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","escolaridade","Fundamental 2",55
"2014-10-08","segundo_turno_aecio","NS/NR*2","escolaridade","Fundamental 2",3
"2014-10-08","segundo_turno_aecio","Aécio Neves2","escolaridade","Medio",50
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","escolaridade","Medio",7
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","escolaridade","Medio",38
"2014-10-08","segundo_turno_aecio","NS/NR*2","escolaridade","Medio",5
"2014-10-08","segundo_turno_aecio","Aécio Neves2","escolaridade","Superior",61
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","escolaridade","Superior",7
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","escolaridade","Superior",30
"2014-10-08","segundo_turno_aecio","NS/NR*2","escolaridade","Superior",3
"2014-10-08","favorito","Aécio Neves2","escolaridade","Fundamental 1",29
"2014-10-08","favorito","Dilma Rousseff2","escolaridade","Fundamental 1",55
"2014-10-08","favorito","NS/NR*2","escolaridade","Fundamental 1",16
"2014-10-08","favorito","Aécio Neves2","escolaridade","Fundamental 2",31
"2014-10-08","favorito","Dilma Rousseff2","escolaridade","Fundamental 2",59
"2014-10-08","favorito","NS/NR*2","escolaridade","Fundamental 2",10
"2014-10-08","favorito","Aécio Neves2","escolaridade","Medio",44
"2014-10-08","favorito","Dilma Rousseff2","escolaridade","Medio",45
"2014-10-08","favorito","NS/NR*2","escolaridade","Medio",11
"2014-10-08","favorito","Aécio Neves2","escolaridade","Superior",51
"2014-10-08","favorito","Dilma Rousseff2","escolaridade","Superior",40
"2014-10-08","favorito","NS/NR*2","escolaridade","Superior",9
"2014-10-08","nota","nota","escolaridade","Fundamental 1",6.8
"2014-10-08","nota","nota","escolaridade","Fundamental 2",6.5
"2014-10-08","nota","nota","escolaridade","Medio",5.4
"2014-10-08","nota","nota","escolaridade","Superior",4.7
"2014-10-08","segundo_aecio_validos","Aécio Neves2","escolaridade","Fundamental 1",37
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","escolaridade","Fundamental 1",63
"2014-10-08","segundo_aecio_validos","Aécio Neves2","escolaridade","Fundamental 2",39
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","escolaridade","Fundamental 2",61
"2014-10-08","segundo_aecio_validos","Aécio Neves2","escolaridade","Medio",56
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","escolaridade","Medio",44
"2014-10-08","segundo_aecio_validos","Aécio Neves2","escolaridade","Superior",67
"2014-10-08","segundo_aecio_validos","Dilma Rousseff2","escolaridade","Superior",33
"2014-10-08","espontanea_validos","Aécio Neves2","escolaridade","Fundamental 1",37
"2014-10-08","espontanea_validos","Dilma Rousseff2","escolaridade","Fundamental 1",62
"2014-10-08","espontanea_validos","Outros2","escolaridade","Fundamental 1",1
"2014-10-08","espontanea_validos","Aécio Neves2","escolaridade","Fundamental 2",38
"2014-10-08","espontanea_validos","Dilma Rousseff2","escolaridade","Fundamental 2",61
"2014-10-08","espontanea_validos","Outros2","escolaridade","Fundamental 2",1
