"","data","cat_pergunta","dado","cat_recorte","recorte","valor"
"54","2014-07-21","aprova_dilma","NS/NR*","sexo","MAS",6
"55","2014-07-21","desejo_mudanca","Quer mudança","sexo","FEM",71
"56","2014-07-21","desejo_mudanca","Quer continuidade","sexo","FEM",27
"57","2014-07-21","desejo_mudanca","NS/NR*","sexo","FEM",2
"58","2014-07-21","desejo_mudanca","Quer mudança","sexo","MAS",70
"59","2014-07-21","desejo_mudanca","Quer continuidade","sexo","MAS",28
"60","2014-07-21","desejo_mudanca","NS/NR*","sexo","MAS",1
"61","2014-07-21","rejeicao","Dilma Rousseff","sexo","FEM",36
"62","2014-07-21","rejeicao","Aécio Neves","sexo","FEM",15
"63","2014-07-21","rejeicao","Pastor Everaldo","sexo","FEM",10
"64","2014-07-21","rejeicao","Eduardo Campos","sexo","FEM",7
"65","2014-07-21","rejeicao","Dilma Rousseff","sexo","MAS",37
"66","2014-07-21","rejeicao","Aécio Neves","sexo","MAS",17
"67","2014-07-21","rejeicao","Pastor Everaldo","sexo","MAS",12
"68","2014-07-21","rejeicao","Eduardo Campos","sexo","MAS",10
"69","2014-07-21","2turno_aecio","Aécio Neves","sexo","FEM",33
"70","2014-07-21","2turno_aecio","Branco e Nulo","sexo","FEM",18
"71","2014-07-21","2turno_aecio","Dilma Rousseff","sexo","FEM",39
"72","2014-07-21","2turno_aecio","NS/NR*","sexo","FEM",10
"73","2014-07-21","2turno_aecio","Aécio Neves","sexo","MAS",34
"74","2014-07-21","2turno_aecio","Branco e Nulo","sexo","MAS",17
"75","2014-07-21","2turno_aecio","Dilma Rousseff","sexo","MAS",42
"76","2014-07-21","2turno_aecio","NS/NR*","sexo","MAS",7
"77","2014-07-21","2turno_campos","Branco e Nulo","sexo","FEM",19
"78","2014-07-21","2turno_campos","Dilma Rousseff","sexo","FEM",40
"79","2014-07-21","2turno_campos","Eduardo Campos","sexo","FEM",29
"80","2014-07-21","2turno_campos","NS/NR*","sexo","FEM",12
"81","2014-07-21","2turno_campos","Branco e Nulo","sexo","MAS",21
"82","2014-07-21","2turno_campos","Dilma Rousseff","sexo","MAS",43
"83","2014-07-21","2turno_campos","Eduardo Campos","sexo","MAS",29
"84","2014-07-21","2turno_campos","NS/NR*","sexo","MAS",8
"85","2014-07-21","favorito","Aécio Neves","sexo","FEM",14
"86","2014-07-21","favorito","Dilma Rousseff","sexo","FEM",53
"87","2014-07-21","favorito","Eduardo Campos","sexo","FEM",4
"88","2014-07-21","favorito","NS/NR*","sexo","FEM",27
"89","2014-07-21","favorito","Outros","sexo","FEM",2
"90","2014-07-21","favorito","Aécio Neves","sexo","MAS",19
"91","2014-07-21","favorito","Dilma Rousseff","sexo","MAS",55
"92","2014-07-21","favorito","Eduardo Campos","sexo","MAS",5
"93","2014-07-21","favorito","NS/NR*","sexo","MAS",20
"94","2014-07-21","favorito","Outros","sexo","MAS",2
"95","2014-07-21","vida_hoje","Satisfeito","idade","16 a 24",84
"96","2014-07-21","vida_hoje","Insatisfeito","idade","16 a 24",16
"97","2014-07-21","vida_hoje","NS/NR*","idade","16 a 24",1
"98","2014-07-21","vida_hoje","Satisfeito","idade","25 a 34",81
"99","2014-07-21","vida_hoje","Insatisfeito","idade","25 a 34",19
"100","2014-07-21","vida_hoje","NS/NR*","idade","25 a 34",0
"101","2014-07-21","vida_hoje","Satisfeito","idade","35 a 44",78
"102","2014-07-21","vida_hoje","Insatisfeito","idade","35 a 44",22
"103","2014-07-21","vida_hoje","NS/NR*","idade","35 a 44",0
"104","2014-07-21","vida_hoje","Satisfeito","idade","45 a 54",75
"105","2014-07-21","vida_hoje","Insatisfeito","idade","45 a 54",24
"106","2014-07-21","vida_hoje","NS/NR*","idade","45 a 54",0
"107","2014-07-21","vida_hoje","Satisfeito","idade","55 ou mais",73
"108","2014-07-21","vida_hoje","Insatisfeito","idade","55 ou mais",26
"109","2014-07-21","vida_hoje","NS/NR*","idade","55 ou mais",0
"110","2014-07-21","interesse","Tem muito interesse","idade","16 a 24",12
"111","2014-07-21","interesse","Tem médio interesse","idade","16 a 24",33
"112","2014-07-21","interesse","Não tem interesse","idade","16 a 24",55
"113","2014-07-21","interesse","NS/NR*","idade","16 a 24",0
"114","2014-07-21","interesse","Tem muito interesse","idade","25 a 34",17
"115","2014-07-21","interesse","Tem médio interesse","idade","25 a 34",24
"116","2014-07-21","interesse","Não tem interesse","idade","25 a 34",59
"117","2014-07-21","interesse","NS/NR*","idade","25 a 34",0
"118","2014-07-21","interesse","Tem muito interesse","idade","35 a 44",17
"119","2014-07-21","interesse","Tem médio interesse","idade","35 a 44",28
"120","2014-07-21","interesse","Não tem interesse","idade","35 a 44",54
"121","2014-07-21","interesse","NS/NR*","idade","35 a 44",1
"122","2014-07-21","interesse","Tem muito interesse","idade","45 a 54",19
"123","2014-07-21","interesse","Tem médio interesse","idade","45 a 54",26
"124","2014-07-21","interesse","Não tem interesse","idade","45 a 54",54
"125","2014-07-21","interesse","NS/NR*","idade","45 a 54",0
"126","2014-07-21","interesse","Tem muito interesse","idade","55 ou mais",21
"127","2014-07-21","interesse","Tem médio interesse","idade","55 ou mais",23
"128","2014-07-21","interesse","Não tem interesse","idade","55 ou mais",55
"129","2014-07-21","interesse","NS/NR*","idade","55 ou mais",1
"130","2014-07-21","intencao_espontanea","Aécio Neves","idade","16 a 24",10
"131","2014-07-21","intencao_espontanea","Branco e Nulo","idade","16 a 24",16
"132","2014-07-21","intencao_espontanea","Dilma Rousseff","idade","16 a 24",24
"133","2014-07-21","intencao_espontanea","Eduardo Campos","idade","16 a 24",3
"134","2014-07-21","intencao_espontanea","NS/NR*","idade","16 a 24",43
"135","2014-07-21","intencao_espontanea","Outros","idade","16 a 24",3
"136","2014-07-21","intencao_espontanea","Aécio Neves","idade","25 a 34",13
"137","2014-07-21","intencao_espontanea","Branco e Nulo","idade","25 a 34",17
"138","2014-07-21","intencao_espontanea","Dilma Rousseff","idade","25 a 34",23
"139","2014-07-21","intencao_espontanea","Eduardo Campos","idade","25 a 34",6
"140","2014-07-21","intencao_espontanea","NS/NR*","idade","25 a 34",40
"141","2014-07-21","intencao_espontanea","Outros","idade","25 a 34",2
"142","2014-07-21","intencao_espontanea","Aécio Neves","idade","35 a 44",10
"143","2014-07-21","intencao_espontanea","Branco e Nulo","idade","35 a 44",16
"144","2014-07-21","intencao_espontanea","Dilma Rousseff","idade","35 a 44",29
"145","2014-07-21","intencao_espontanea","Eduardo Campos","idade","35 a 44",4
"146","2014-07-21","intencao_espontanea","NS/NR*","idade","35 a 44",38
"147","2014-07-21","intencao_espontanea","Outros","idade","35 a 44",3
"148","2014-07-21","intencao_espontanea","Aécio Neves","idade","45 a 54",15
"149","2014-07-21","intencao_espontanea","Branco e Nulo","idade","45 a 54",18
"150","2014-07-21","intencao_espontanea","Dilma Rousseff","idade","45 a 54",21
"151","2014-07-21","intencao_espontanea","Eduardo Campos","idade","45 a 54",2
"152","2014-07-21","intencao_espontanea","NS/NR*","idade","45 a 54",40
"153","2014-07-21","intencao_espontanea","Outros","idade","45 a 54",3
"154","2014-07-21","intencao_espontanea","Aécio Neves","idade","55 ou mais",14
"155","2014-07-21","intencao_espontanea","Branco e Nulo","idade","55 ou mais",17
"156","2014-07-21","intencao_espontanea","Dilma Rousseff","idade","55 ou mais",31
"157","2014-07-21","intencao_espontanea","Eduardo Campos","idade","55 ou mais",4
"158","2014-07-21","intencao_espontanea","NS/NR*","idade","55 ou mais",33
"159","2014-07-21","intencao_espontanea","Outros","idade","55 ou mais",1
"160","2014-07-21","intencao_estimulada","Aécio Neves","idade","16 a 24",19
"161","2014-07-21","intencao_estimulada","Branco e Nulo","idade","16 a 24",17
"162","2014-07-21","intencao_estimulada","Dilma Rousseff","idade","16 a 24",37
"163","2014-07-21","intencao_estimulada","Eduardo Campos","idade","16 a 24",10
"164","2014-07-21","intencao_estimulada","NS/NR*","idade","16 a 24",8
"165","2014-07-21","intencao_estimulada","Outros","idade","16 a 24",6
"166","2014-07-21","intencao_estimulada","Pastor Everaldo","idade","16 a 24",3
"167","2014-07-21","intencao_estimulada","Aécio Neves","idade","25 a 34",21
"168","2014-07-21","intencao_estimulada","Branco e Nulo","idade","25 a 34",16
"169","2014-07-21","intencao_estimulada","Dilma Rousseff","idade","25 a 34",37
"170","2014-07-21","intencao_estimulada","Eduardo Campos","idade","25 a 34",11
"171","2014-07-21","intencao_estimulada","NS/NR*","idade","25 a 34",8
"172","2014-07-21","intencao_estimulada","Outros","idade","25 a 34",4
"173","2014-07-21","intencao_estimulada","Pastor Everaldo","idade","25 a 34",4
"174","2014-07-21","intencao_estimulada","Aécio Neves","idade","35 a 44",20
"175","2014-07-21","intencao_estimulada","Branco e Nulo","idade","35 a 44",15
"176","2014-07-21","intencao_estimulada","Dilma Rousseff","idade","35 a 44",45
"177","2014-07-21","intencao_estimulada","Eduardo Campos","idade","35 a 44",6
"178","2014-07-21","intencao_estimulada","NS/NR*","idade","35 a 44",7
"179","2014-07-21","intencao_estimulada","Outros","idade","35 a 44",5
"180","2014-07-21","intencao_estimulada","Pastor Everaldo","idade","35 a 44",3
"181","2014-07-21","intencao_estimulada","Aécio Neves","idade","45 a 54",27
"182","2014-07-21","intencao_estimulada","Branco e Nulo","idade","45 a 54",17
"183","2014-07-21","intencao_estimulada","Dilma Rousseff","idade","45 a 54",31
"184","2014-07-21","intencao_estimulada","Eduardo Campos","idade","45 a 54",7
"185","2014-07-21","intencao_estimulada","NS/NR*","idade","45 a 54",11
"186","2014-07-21","intencao_estimulada","Outros","idade","45 a 54",4
"187","2014-07-21","intencao_estimulada","Pastor Everaldo","idade","45 a 54",3
"188","2014-07-21","intencao_estimulada","Aécio Neves","idade","55 ou mais",23
"189","2014-07-21","intencao_estimulada","Branco e Nulo","idade","55 ou mais",15
"190","2014-07-21","intencao_estimulada","Dilma Rousseff","idade","55 ou mais",41
"191","2014-07-21","intencao_estimulada","Eduardo Campos","idade","55 ou mais",8
"192","2014-07-21","intencao_estimulada","NS/NR*","idade","55 ou mais",9
"193","2014-07-21","intencao_estimulada","Outros","idade","55 ou mais",3
"194","2014-07-21","intencao_estimulada","Pastor Everaldo","idade","55 ou mais",1
"195","2014-07-21","avaliacao_governo","Ótimo e bom","idade","16 a 24",24
"196","2014-07-21","avaliacao_governo","Regular","idade","16 a 24",38
"197","2014-07-21","avaliacao_governo","Ruim e péssimo","idade","16 a 24",37
"198","2014-07-21","avaliacao_governo","NS/NR*","idade","16 a 24",1
"199","2014-07-21","avaliacao_governo","Ótimo e bom","idade","25 a 34",28
"200","2014-07-21","avaliacao_governo","Regular","idade","25 a 34",36
"201","2014-07-21","avaliacao_governo","Ruim e péssimo","idade","25 a 34",37
"202","2014-07-21","avaliacao_governo","NS/NR*","idade","25 a 34",0
"203","2014-07-21","avaliacao_governo","Ótimo e bom","idade","35 a 44",36
"204","2014-07-21","avaliacao_governo","Regular","idade","35 a 44",31
"205","2014-07-21","avaliacao_governo","Ruim e péssimo","idade","35 a 44",32
"206","2014-07-21","avaliacao_governo","NS/NR*","idade","35 a 44",1
"207","2014-07-21","avaliacao_governo","Ótimo e bom","idade","45 a 54",28
"208","2014-07-21","avaliacao_governo","Regular","idade","45 a 54",36
"209","2014-07-21","avaliacao_governo","Ruim e péssimo","idade","45 a 54",35
"210","2014-07-21","avaliacao_governo","NS/NR*","idade","45 a 54",1
"211","2014-07-21","avaliacao_governo","Ótimo e bom","idade","55 ou mais",37
"212","2014-07-21","avaliacao_governo","Regular","idade","55 ou mais",37
"213","2014-07-21","avaliacao_governo","Ruim e péssimo","idade","55 ou mais",25
"214","2014-07-21","avaliacao_governo","NS/NR*","idade","55 ou mais",1
"215","2014-07-21","aprova_dilma","Aprova","idade","16 a 24",41
"216","2014-07-21","aprova_dilma","Desaprova","idade","16 a 24",53
"217","2014-07-21","aprova_dilma","NS/NR*","idade","16 a 24",6
"218","2014-07-21","aprova_dilma","Aprova","idade","25 a 34",42
"219","2014-07-21","aprova_dilma","Desaprova","idade","25 a 34",53
"220","2014-07-21","aprova_dilma","NS/NR*","idade","25 a 34",5
"221","2014-07-21","aprova_dilma","Aprova","idade","35 a 44",46
"222","2014-07-21","aprova_dilma","Desaprova","idade","35 a 44",48
"223","2014-07-21","aprova_dilma","NS/NR*","idade","35 a 44",6
"224","2014-07-21","aprova_dilma","Aprova","idade","45 a 54",37
"225","2014-07-21","aprova_dilma","Desaprova","idade","45 a 54",57
"226","2014-07-21","aprova_dilma","NS/NR*","idade","45 a 54",6
"227","2014-07-21","aprova_dilma","Aprova","idade","55 ou mais",53
"228","2014-07-21","aprova_dilma","Desaprova","idade","55 ou mais",41
"229","2014-07-21","aprova_dilma","NS/NR*","idade","55 ou mais",6
"230","2014-07-21","desejo_mudanca","Quer mudança","idade","16 a 24",74
"231","2014-07-21","desejo_mudanca","Quer continuidade","idade","16 a 24",25
"232","2014-07-21","desejo_mudanca","NS/NR*","idade","16 a 24",1
"233","2014-07-21","desejo_mudanca","Quer mudança","idade","25 a 34",70
"234","2014-07-21","desejo_mudanca","Quer continuidade","idade","25 a 34",28
"235","2014-07-21","desejo_mudanca","NS/NR*","idade","25 a 34",2
"236","2014-07-21","desejo_mudanca","Quer mudança","idade","35 a 44",71
"237","2014-07-21","desejo_mudanca","Quer continuidade","idade","35 a 44",28
"238","2014-07-21","desejo_mudanca","NS/NR*","idade","35 a 44",1
"239","2014-07-21","desejo_mudanca","Quer mudança","idade","45 a 54",78
"240","2014-07-21","desejo_mudanca","Quer continuidade","idade","45 a 54",21
"241","2014-07-21","desejo_mudanca","NS/NR*","idade","45 a 54",1
"242","2014-07-21","desejo_mudanca","Quer mudança","idade","55 ou mais",62
"243","2014-07-21","desejo_mudanca","Quer continuidade","idade","55 ou mais",33
"244","2014-07-21","desejo_mudanca","NS/NR*","idade","55 ou mais",5
"245","2014-07-21","rejeicao","Dilma Rousseff","idade","16 a 24",39
"246","2014-07-21","rejeicao","Aécio Neves","idade","16 a 24",17
"247","2014-07-21","rejeicao","Pastor Everaldo","idade","16 a 24",9
"248","2014-07-21","rejeicao","Eduardo Campos","idade","16 a 24",7
"249","2014-07-21","rejeicao","Dilma Rousseff","idade","25 a 34",42
"250","2014-07-21","rejeicao","Aécio Neves","idade","25 a 34",16
"251","2014-07-21","rejeicao","Pastor Everaldo","idade","25 a 34",9
"252","2014-07-21","rejeicao","Eduardo Campos","idade","25 a 34",7
"253","2014-07-21","rejeicao","Dilma Rousseff","idade","35 a 44",35
"254","2014-07-21","rejeicao","Aécio Neves","idade","35 a 44",17
"255","2014-07-21","rejeicao","Pastor Everaldo","idade","35 a 44",11
"256","2014-07-21","rejeicao","Eduardo Campos","idade","35 a 44",8
"257","2014-07-21","rejeicao","Dilma Rousseff","idade","45 a 54",35
"258","2014-07-21","rejeicao","Aécio Neves","idade","45 a 54",12
"259","2014-07-21","rejeicao","Pastor Everaldo","idade","45 a 54",13
"260","2014-07-21","rejeicao","Eduardo Campos","idade","45 a 54",8
"261","2014-07-21","rejeicao","Dilma Rousseff","idade","55 ou mais",29
"262","2014-07-21","rejeicao","Aécio Neves","idade","55 ou mais",16
"263","2014-07-21","rejeicao","Pastor Everaldo","idade","55 ou mais",13
"264","2014-07-21","rejeicao","Eduardo Campos","idade","55 ou mais",12
"265","2014-07-21","2turno_aecio","Aécio Neves","idade","16 a 24",34
"266","2014-07-21","2turno_aecio","Branco e Nulo","idade","16 a 24",19
"267","2014-07-21","2turno_aecio","Dilma Rousseff","idade","16 a 24",39
"268","2014-07-21","2turno_aecio","NS/NR*","idade","16 a 24",7
"269","2014-07-21","2turno_aecio","Aécio Neves","idade","25 a 34",37
"270","2014-07-21","2turno_aecio","Branco e Nulo","idade","25 a 34",17
"271","2014-07-21","2turno_aecio","Dilma Rousseff","idade","25 a 34",39
"272","2014-07-21","2turno_aecio","NS/NR*","idade","25 a 34",7
"273","2014-07-21","2turno_aecio","Aécio Neves","idade","35 a 44",30
"274","2014-07-21","2turno_aecio","Branco e Nulo","idade","35 a 44",18
"275","2014-07-21","2turno_aecio","Dilma Rousseff","idade","35 a 44",45
"276","2014-07-21","2turno_aecio","NS/NR*","idade","35 a 44",8
"277","2014-07-21","2turno_aecio","Aécio Neves","idade","45 a 54",37
"278","2014-07-21","2turno_aecio","Branco e Nulo","idade","45 a 54",18
"279","2014-07-21","2turno_aecio","Dilma Rousseff","idade","45 a 54",34
"280","2014-07-21","2turno_aecio","NS/NR*","idade","45 a 54",11
"281","2014-07-21","2turno_aecio","Aécio Neves","idade","55 ou mais",29
"282","2014-07-21","2turno_aecio","Branco e Nulo","idade","55 ou mais",16
"283","2014-07-21","2turno_aecio","Dilma Rousseff","idade","55 ou mais",45
"284","2014-07-21","2turno_aecio","NS/NR*","idade","55 ou mais",9
"285","2014-07-21","2turno_campos","Branco e Nulo","idade","16 a 24",18
"286","2014-07-21","2turno_campos","Dilma Rousseff","idade","16 a 24",38
"287","2014-07-21","2turno_campos","Eduardo Campos","idade","16 a 24",34
"288","2014-07-21","2turno_campos","NS/NR*","idade","16 a 24",10
"289","2014-07-21","2turno_campos","Branco e Nulo","idade","25 a 34",20
"290","2014-07-21","2turno_campos","Dilma Rousseff","idade","25 a 34",41
"291","2014-07-21","2turno_campos","Eduardo Campos","idade","25 a 34",31
"292","2014-07-21","2turno_campos","NS/NR*","idade","25 a 34",9
"293","2014-07-21","2turno_campos","Branco e Nulo","idade","35 a 44",20
"294","2014-07-21","2turno_campos","Dilma Rousseff","idade","35 a 44",45
"295","2014-07-21","2turno_campos","Eduardo Campos","idade","35 a 44",27
"296","2014-07-21","2turno_campos","NS/NR*","idade","35 a 44",8
"297","2014-07-21","2turno_campos","Branco e Nulo","idade","45 a 54",23
"298","2014-07-21","2turno_campos","Dilma Rousseff","idade","45 a 54",35
"299","2014-07-21","2turno_campos","Eduardo Campos","idade","45 a 54",31
"300","2014-07-21","2turno_campos","NS/NR*","idade","45 a 54",12
"301","2014-07-21","2turno_campos","Branco e Nulo","idade","55 ou mais",19
"302","2014-07-21","2turno_campos","Dilma Rousseff","idade","55 ou mais",45
"303","2014-07-21","2turno_campos","Eduardo Campos","idade","55 ou mais",24
"304","2014-07-21","2turno_campos","NS/NR*","idade","55 ou mais",11
"305","2014-07-21","favorito","Aécio Neves","idade","16 a 24",14
"306","2014-07-21","favorito","Dilma Rousseff","idade","16 a 24",53
"307","2014-07-21","favorito","Eduardo Campos","idade","16 a 24",8
"308","2014-07-21","favorito","NS/NR*","idade","16 a 24",23
"309","2014-07-21","favorito","Outros","idade","16 a 24",2
"310","2014-07-21","favorito","Aécio Neves","idade","25 a 34",16
"311","2014-07-21","favorito","Dilma Rousseff","idade","25 a 34",53
"312","2014-07-21","favorito","Eduardo Campos","idade","25 a 34",6
"313","2014-07-21","favorito","NS/NR*","idade","25 a 34",23
"314","2014-07-21","favorito","Outros","idade","25 a 34",2
"315","2014-07-21","favorito","Aécio Neves","idade","35 a 44",14
"316","2014-07-21","favorito","Dilma Rousseff","idade","35 a 44",59
"317","2014-07-21","favorito","Eduardo Campos","idade","35 a 44",2
"318","2014-07-21","favorito","NS/NR*","idade","35 a 44",24
"319","2014-07-21","favorito","Outros","idade","35 a 44",1
"320","2014-07-21","favorito","Aécio Neves","idade","45 a 54",18
"321","2014-07-21","favorito","Dilma Rousseff","idade","45 a 54",50
"322","2014-07-21","favorito","Eduardo Campos","idade","45 a 54",4
"323","2014-07-21","favorito","NS/NR*","idade","45 a 54",26
"324","2014-07-21","favorito","Outros","idade","45 a 54",2
"325","2014-07-21","favorito","Aécio Neves","idade","55 ou mais",18
"326","2014-07-21","favorito","Dilma Rousseff","idade","55 ou mais",53
"327","2014-07-21","favorito","Eduardo Campos","idade","55 ou mais",3
"328","2014-07-21","favorito","NS/NR*","idade","55 ou mais",24
"329","2014-07-21","favorito","Outros","idade","55 ou mais",1
"330","2014-07-21","vida_hoje","Satisfeito","escolaridade","Fundamental 1",74
"331","2014-07-21","vida_hoje","Insatisfeito","escolaridade","Fundamental 1",25
"332","2014-07-21","vida_hoje","NS/NR*","escolaridade","Fundamental 1",1
"333","2014-07-21","vida_hoje","Satisfeito","escolaridade","Fundamental 2",77
"334","2014-07-21","vida_hoje","Insatisfeito","escolaridade","Fundamental 2",23
"335","2014-07-21","vida_hoje","NS/NR*","escolaridade","Fundamental 2",0
"336","2014-07-21","vida_hoje","Satisfeito","escolaridade","Medio",80
"337","2014-07-21","vida_hoje","Insatisfeito","escolaridade","Medio",20
"338","2014-07-21","vida_hoje","NS/NR*","escolaridade","Medio",0
"339","2014-07-21","vida_hoje","Satisfeito","escolaridade","Superior",82
"340","2014-07-21","vida_hoje","Insatisfeito","escolaridade","Superior",18
"341","2014-07-21","vida_hoje","NS/NR*","escolaridade","Superior",0
"342","2014-07-21","interesse","Tem muito interesse","escolaridade","Fundamental 1",18
"343","2014-07-21","interesse","Tem médio interesse","escolaridade","Fundamental 1",24
"344","2014-07-21","interesse","Não tem interesse","escolaridade","Fundamental 1",56
"345","2014-07-21","interesse","NS/NR*","escolaridade","Fundamental 1",1
"346","2014-07-21","interesse","Tem muito interesse","escolaridade","Fundamental 2",13
"347","2014-07-21","interesse","Tem médio interesse","escolaridade","Fundamental 2",25
"348","2014-07-21","interesse","Não tem interesse","escolaridade","Fundamental 2",61
"349","2014-07-21","interesse","NS/NR*","escolaridade","Fundamental 2",0
"350","2014-07-21","interesse","Tem muito interesse","escolaridade","Medio",14
"351","2014-07-21","interesse","Tem médio interesse","escolaridade","Medio",29
"352","2014-07-21","interesse","Não tem interesse","escolaridade","Medio",57
"353","2014-07-21","interesse","NS/NR*","escolaridade","Medio",0
"354","2014-07-21","interesse","Tem muito interesse","escolaridade","Superior",29
"355","2014-07-21","interesse","Tem médio interesse","escolaridade","Superior",28
"356","2014-07-21","interesse","Não tem interesse","escolaridade","Superior",43
"357","2014-07-21","interesse","NS/NR*","escolaridade","Superior",0
"358","2014-07-21","intencao_espontanea","Aécio Neves","escolaridade","Fundamental 1",11
"359","2014-07-21","intencao_espontanea","Branco e Nulo","escolaridade","Fundamental 1",16
"360","2014-07-21","intencao_espontanea","Dilma Rousseff","escolaridade","Fundamental 1",32
"361","2014-07-21","intencao_espontanea","Eduardo Campos","escolaridade","Fundamental 1",3
"362","2014-07-21","intencao_espontanea","NS/NR*","escolaridade","Fundamental 1",37
"363","2014-07-21","intencao_espontanea","Outros","escolaridade","Fundamental 1",1
"364","2014-07-21","intencao_espontanea","Aécio Neves","escolaridade","Fundamental 2",9
"365","2014-07-21","intencao_espontanea","Branco e Nulo","escolaridade","Fundamental 2",17
"366","2014-07-21","intencao_espontanea","Dilma Rousseff","escolaridade","Fundamental 2",32
"367","2014-07-21","intencao_espontanea","Eduardo Campos","escolaridade","Fundamental 2",4
"368","2014-07-21","intencao_espontanea","NS/NR*","escolaridade","Fundamental 2",36
"369","2014-07-21","intencao_espontanea","Outros","escolaridade","Fundamental 2",2
"370","2014-07-21","intencao_espontanea","Aécio Neves","escolaridade","Medio",11
"371","2014-07-21","intencao_espontanea","Branco e Nulo","escolaridade","Medio",18
"372","2014-07-21","intencao_espontanea","Dilma Rousseff","escolaridade","Medio",22
"373","2014-07-21","intencao_espontanea","Eduardo Campos","escolaridade","Medio",4
"374","2014-07-21","intencao_espontanea","NS/NR*","escolaridade","Medio",42
"375","2014-07-21","intencao_espontanea","Outros","escolaridade","Medio",2
"376","2014-07-21","intencao_espontanea","Aécio Neves","escolaridade","Superior",21
"377","2014-07-21","intencao_espontanea","Branco e Nulo","escolaridade","Superior",15
"378","2014-07-21","intencao_espontanea","Dilma Rousseff","escolaridade","Superior",19
"379","2014-07-21","intencao_espontanea","Eduardo Campos","escolaridade","Superior",5
"380","2014-07-21","intencao_espontanea","NS/NR*","escolaridade","Superior",38
"381","2014-07-21","intencao_espontanea","Outros","escolaridade","Superior",3
